sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
18.168,pbarp,0.15,0.0,0.0,13.99,0.49,0.49,0.4197,0.4197,0.6451729148065656,0.6451729148065656,ins110409
18.168,pbarp,0.17,0.0,0.0,9.85,1.19,1.19,0.2955,0.2955,1.2261403875576402,1.2261403875576402,ins110409
18.168,pbarp,0.2,0.0,0.0,7.66,0.33,0.33,0.2298,0.2298,0.4021293821644969,0.4021293821644969,ins110409
18.168,pbarp,0.25,0.0,0.0,4.03,0.63,0.63,0.12090000000000001,0.12090000000000001,0.6414957599236335,0.6414957599236335,ins110409
18.168,pbarp,0.35,0.0,0.0,1.65,0.11,0.11,0.049499999999999995,0.049499999999999995,0.1206244170970372,0.1206244170970372,ins110409
18.168,pbarp,0.4,0.0,0.0,1.01,0.31,0.31,0.0303,0.0303,0.3114772704387914,0.3114772704387914,ins110409
18.168,pbarp,0.45,0.0,0.0,0.52,0.33,0.33,0.0156,0.0156,0.3303685215028817,0.3303685215028817,ins110409
18.168,pbarp,0.5,0.0,0.0,0.39,0.36,0.36,0.0117,0.0117,0.36019007482161414,0.36019007482161414,ins110409
18.168,pbarp,0.6,0.0,0.0,0.16,0.07,0.07,0.0048,0.0048,0.0701643784266632,0.0701643784266632,ins110409
9.776,pbarp,0.0375,0.0,0.0,60.34,1.03,1.03,1.8102,1.8102,2.082720346085859,2.082720346085859,ins110409
9.776,pbarp,0.075,0.0,0.0,40.34,0.67,0.67,1.2102000000000002,1.2102000000000002,1.3832874032535685,1.3832874032535685,ins110409
9.776,pbarp,0.11,0.0,0.0,26.37,0.91,0.91,0.7911,0.7911,1.2057940164057874,1.2057940164057874,ins110409
9.776,pbarp,0.13,0.0,0.0,20.17,1.09,1.09,0.6051000000000001,0.6051000000000001,1.2466940322308437,1.2466940322308437,ins110409
9.776,pbarp,0.15,0.0,0.0,17.31,0.87,0.87,0.5193,0.5193,1.0131991363991582,1.0131991363991582,ins110409
9.776,pbarp,0.17,0.0,0.0,13.06,0.57,0.57,0.3918,0.3918,0.6916698923619561,0.6916698923619561,ins110409
9.776,pbarp,0.2,0.0,0.0,8.28,0.5,0.5,0.24839999999999998,0.24839999999999998,0.5583032867537141,0.5583032867537141,ins110409
9.776,pbarp,0.25,0.0,0.0,4.95,0.25,0.25,0.1485,0.1485,0.29077869591839084,0.29077869591839084,ins110409
9.776,pbarp,0.3,0.0,0.0,2.79,0.18,0.18,0.0837,0.0837,0.19850866479829035,0.19850866479829035,ins110409
9.776,pbarp,0.35,0.0,0.0,1.75,0.18,0.18,0.0525,0.0525,0.1875,0.1875,ins110409
9.776,pbarp,0.4,0.0,0.0,0.96,0.09,0.09,0.0288,0.0288,0.09449571418852815,0.09449571418852815,ins110409
9.776,pbarp,0.45,0.0,0.0,0.98,0.25,0.25,0.0294,0.0294,0.2517227840303694,0.2517227840303694,ins110409
9.776,pbarp,0.5,0.0,0.0,0.42,0.06,0.06,0.012599999999999998,0.012599999999999998,0.06130872694812705,0.06130872694812705,ins110409
9.776,pbarp,0.55,0.0,0.0,0.25,0.04,0.04,0.0075,0.0075,0.04069705149024927,0.04069705149024927,ins110409
9.776,pbarp,0.6,0.0,0.0,0.21,0.04,0.04,0.006299999999999999,0.006299999999999999,0.04049308582955861,0.04049308582955861,ins110409
9.776,pbarp,0.65,0.0,0.0,0.13,0.03,0.03,0.0039,0.0039,0.030252437918290156,0.030252437918290156,ins110409
9.776,pbarp,0.75,0.0,0.0,0.05,0.01,0.01,0.0015,0.0015,0.010111874208078343,0.010111874208078343,ins110409
11.537,pp,0.0375,0.0,0.0,52.04,1.08,1.08,1.5612,1.5612,1.898353349616451,1.898353349616451,ins110409
11.537,pp,0.075,0.0,0.0,34.42,0.42,0.42,1.0326,1.0326,1.1147478459274993,1.1147478459274993,ins110409
11.537,pp,0.11,0.0,0.0,24.0,0.49,0.49,0.72,0.72,0.8709190547921202,0.8709190547921202,ins110409
11.537,pp,0.13,0.0,0.0,19.58,0.43,0.43,0.5873999999999999,0.5873999999999999,0.7279689279083276,0.7279689279083276,ins110409
11.537,pp,0.15,0.0,0.0,15.96,0.36,0.36,0.4788,0.4788,0.5990404326921513,0.5990404326921513,ins110409
11.537,pp,0.17,0.0,0.0,13.24,0.44,0.44,0.3972,0.3972,0.5927628868274396,0.5927628868274396,ins110409
11.537,pp,0.2,0.0,0.0,10.26,0.31,0.31,0.30779999999999996,0.30779999999999996,0.4368533392341187,0.4368533392341187,ins110409
11.537,pp,0.25,0.0,0.0,6.13,0.21,0.21,0.18389999999999998,0.18389999999999998,0.27914012610156924,0.27914012610156924,ins110409
11.537,pp,0.3,0.0,0.0,3.06,0.1,0.1,0.09179999999999999,0.09179999999999999,0.13574697050026568,0.13574697050026568,ins110409
11.537,pp,0.35,0.0,0.0,2.27,0.06,0.06,0.0681,0.0681,0.09076128029066138,0.09076128029066138,ins110409
11.537,pp,0.4,0.0,0.0,1.49,0.04,0.04,0.0447,0.0447,0.05998408122160412,0.05998408122160412,ins110409
11.537,pp,0.45,0.0,0.0,0.95,0.04,0.04,0.028499999999999998,0.028499999999999998,0.04911466176204413,0.04911466176204413,ins110409
11.537,pp,0.5,0.0,0.0,0.6,0.03,0.03,0.018,0.018,0.034985711369071804,0.034985711369071804,ins110409
11.537,pp,0.55,0.0,0.0,0.44,0.03,0.03,0.0132,0.0132,0.03277560068099439,0.03277560068099439,ins110409
11.537,pp,0.6,0.0,0.0,0.25,0.04,0.04,0.0075,0.0075,0.04069705149024927,0.04069705149024927,ins110409
11.537,pp,0.65,0.0,0.0,0.16,0.02,0.02,0.0048,0.0048,0.020567936211491906,0.020567936211491906,ins110409
11.537,pp,0.7,0.0,0.0,0.11,0.01,0.01,0.0033,0.0033,0.010530432089900205,0.010530432089900205,ins110409
